motif	motif_importance__healthy_OPC	motif_importance__healthy_oligodendrocyte	score_raw__healthy_OPC	score_raw__healthy_oligodendrocyte	score_legacy__healthy_OPC	score_legacy__healthy_oligodendrocyte
ZNF436	0.0014481960069573593	0.001387788499131352	0.0	0.0	0.0	0.0
ZNF449	0.0019501449470971468	0.0022401414714444327	0.0	0.0	0.0	0.0
ZNF490	0.00035063930821587483	0.00017889950087136857	0.0	0.0	0.0	0.0
ZNF524	0.004563481890784003	0.005825947081816139	0.0	0.0	0.0	0.0
ZNF528	0.0031316954698679075	0.003981190491253445	0.0	0.0	0.0	0.0
ZNF53	0.003216550615098741	0.0034462396303812665	0.0	0.0	0.0	0.0
ZNF547	0.002470421501023977	0.0024980253675378735	0.0	0.0	0.0	0.0
ZNF549	0.004142401169638953	0.003834617982070796	0.0	0.0	0.0	0.0
ZNF554	0.006012783871615601	0.0074036784303108	0.0	0.0	0.0	0.0
ZNF563	0.0026616571370662403	0.0037643435850212405	0.0	0.0	0.0	0.0
ZNF57	0.0029565083944051987	0.004842006383614485	0.0	0.0	0.0	0.0
ZNF586	0.0009048700758538764	0.0012788814536318141	0.0	0.0	0.0	0.0
ZNF652	0.000575844169791594	0.0006715472056680545	0.0	0.0	0.0	0.0
ZNF667	0.002206764905415097	0.002484223961701723	0.0	0.0	0.0	0.0
ZNF680	0.004146257101651097	0.00289266668850197	0.0	0.0	0.0	0.0
ZNF708	0.002159654859940787	0.002893786161561149	0.0	0.0	0.0	0.0
ZNF713	0.0009600167983539102	0.0010372245964010852	0.0	0.0	0.0	0.0
ZNF768	0.0037986972876687185	0.006115964661859912	0.0	0.0	0.0	0.0
ZNF784	0.00021185615640585258	0.0008762311029174661	0.0	0.0	0.0	0.0
ZNF85	0.0004735550324465739	0.0005250835154918219	0.0	0.0	0.0	0.0
ZSCAN3	0.0035389761001426217	0.0056868122671686686	0.0	0.0	0.0	0.0
ZSCAN4	0.0005538252577421325	0.0014095163401542145	0.0	0.0	0.0	0.0
